Symbol;Firmenname
LNZ.VI;Lenzing Aktiengesellschaft
EVN.VI;EVN AG
DOC.VI;DO & CO Aktiengesellschaft
SBO.VI;Schoeller-Bleckmann Oilfield Equipment Aktiengesellschaft
EBS.VI;Erste Group Bank AG
MMK.VI;Mayr-Melnhof Karton AG
CAI.VI;CA Immobilien Anlagen AG
SPI.VI;S IMMO AG
BG.VI;BAWAG Group AG
RBI.VI;Raiffeisen Bank International AG
ANDR.VI;Andritz AG
VIG.VI;Vienna Insurance Group AG
POST.VI;Österreichische Post AG
ATS.VI;AT & S Austria Technologie & Systemtechnik Aktiengesellschaft
WIE.VI;Wienerberger AG
VOE.VI;Voestalpine AG
UQA.VI;UNIQA Insurance Group AG
VER.VI;VERBUND AG
OMV.VI;OMV Aktiengesellschaft
IIA.VI;IMMOFINANZ AG
